c	c,
City	c,City,
co	c,City,co,
Company	c,City,co,Company,
Country	c,City,co,Company,Country,
Department	c,City,co,Company,Country,Department,
Description	c,City,co,Company,Country,Department,Description,
facsimileTelephoneNumber	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,
Fax	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,
HomePage	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,
l	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,
Manager	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,
MemberOf	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,
Office	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,Office,
physicalDeliveryOfficeName	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,Office,physicalDeliveryOfficeName,
PostalCode	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,Office,physicalDeliveryOfficeName,PostalCode,
st	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,Office,physicalDeliveryOfficeName,PostalCode,st,
State	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,Office,physicalDeliveryOfficeName,PostalCode,st,State,
StreetAddress	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,Office,physicalDeliveryOfficeName,PostalCode,st,State,StreetAddress,
Title	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,Office,physicalDeliveryOfficeName,PostalCode,st,State,StreetAddress,Title,
wWWHomePage	c,City,co,Company,Country,Department,Description,facsimileTelephoneNumber,Fax,HomePage,l,Manager,MemberOf,Office,physicalDeliveryOfficeName,PostalCode,st,State,StreetAddress,Title,wWWHomePage
